Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MYE4	Macmillan Publishing	Adventures of Odysseus, The	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		7,939		A	24	N		F		Children	9781405060165	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE4	Macmillan Publishing	Dan Tries to Help	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		8,000		E	24	N		F		Children	9781405060172	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE4	Macmillan Publishing	Escape from the Fire	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		8,000		E	24	N		F		Children	9781405060189	N/A	N/A	N/A		2007	2007	Y	LLLA Finalist 2008; free audio download
MYE4		Jungle Book, The	Gill Munton	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		9,275		A	56			F		Children	9780230469280	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE4	Macmillan Publishing	Pinocchio	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		6, 937		A	24	N		F		Children	9780230719903	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE4	Macmillan Publishing	Robin Hood	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		8, 327		A	24	N		F		Children	9781405060158	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE4	Macmillan Publishing	Snow Queen, The	Series Authors	Macmillan English Explorers	Explorers 4 - Flyers	NA		A2+		5,767		A	24	N		F		Children	9780230719927	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE5	Macmillan Publishing	Aladdin	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,652		A	24	N		F		Children	9780230719804	N/A	N/A	N/A		2010	2010	Y	LLLA WINNER 2011; free audio download
MYE5		Alice's Adventures in Wonderland	Lewis Carroll, retold by Gill Munton	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,790		A	72			F		Children	9780230469297	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE5	Macmillan Publishing	Black Beauty	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,740		A	24	N		F		Children	9780230719842	N/A	N/A	N/A		2010	2010	Y	free audio download
