Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PERX1	Pearson	Surfer!	Harvey, Paul	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,524 		A	32	Y	2		Original	teen, adult	9781405869690	9781405878210				2008	2008	Y	
PERX1	Pearson	Twenty Thousand Leagues Under the Sea	Verne, Jules	Pearson English Readers	1	300 	Beginner (H)	A1	1.2-1.4	4,402 		A	32	Y	2		Classic	teen, adult	9781405842761	9781405877992				2008	2008	Y	
PERX2	Pearson	Alice in Wonderland	Carroll, Lewis	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	7,693 		A	56	Y	3		Classic	teen, adult	9781405855358	9781405878234				2008	2008	Y	
PERX2	Pearson	American Life	Shipton, Vicky	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	3,082 		A	40	Y	3		Original	teen, adult	9781405881555	9781405878258				2008	2008	Y	
PERX2	Pearson	Apollo 13	Anastasio, Dina	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,119 		A	48	Y	3		Contemporary	teen, adult	9781405881562	9781405878265				2008	2008	Y	
PERX2	Pearson	Christmas Carol, A	Dickens, Charles	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,882 		A	48	Y	3		Classic	teen, adult	9781405842822	9781405878326				2008	2008	Y	
PERX2	Pearson	Extreme Sports	Dean, Michael	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,128 		A	36	Y	3		Original	teen, adult	9781405881593	9781405878357				2008	2008	Y	
PERX2	Pearson	Gulliver's Travels	Swift, Jonathan	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,681 		A	48	Y	3		Classic	teen, adult	9781405842846	9781405878418				2008	2008	Y	
PERX2	Pearson	Jurassic Park III	Ciencin, Scott	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	7,138 		A	56	Y	3		Contemporary	teen, adult	9781405881630	9781405878487				2008	2008	Y	
PERX2	Pearson	King Arthur and the Knights of the Round Table		Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	10,369 		A	56	Y	3		Classic	teen, adult	9781405855327	9781405878500				2008	2008	Y	
PERX2	Pearson	Lost in New York	Escott, John	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,875 		A	32		3		Original	teen, adult	9781405876971	9781408285107				2008	2008	Y	
PERX2	Pearson	Marley and Me	John Grogan	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	10,666 		A	44	Y	3		Contemporary	teen, adult	9781408263761	9781408263914				2012	2012	Y	LLLA FINALIST 2013
PERX2	Pearson	Mysterious Island, The	Verne, Jules	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	6,370 		A	48	Y	3		Classic	teen, adult	9781405842891	9781405878623				2008	2008	Y	
PERX2	Pearson	Persuasion	Austen, Jane	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	6,575 		A	56	Y	3		Classic	teen, adult	9781405869492	9781405878647				2008	2008	Y	
PERX2	Pearson	Pirates of the Caribbean The Curse of the Black Pearl		Pearson English Readers	2	600	Elementary (M)	A2	2.4-2.6	7438		A	48	Y	3		Contemporary	teen, adult	9781405881708	9781405878654				2008	2008	Y	
PERX2	Pearson	Prince and the Pauper, The	Twain, Mark	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,137 		A	48	Y	3		Classic	teen, adult	9781405842907	9781405878661				2008	2008	Y	
PERX2	Pearson	Project Omega	O'Reilly, Elaine	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,325 		A	32	Y	3		Original	teen, adult	9781405881715	9781405878678				2008	2008	Y	
PERX2	Pearson	Robin Hood		Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,760 		A	48	Y	3		Classic	teen, adult	9781405842914	9781405878692				2008	2008	Y	
PERX2	Pearson	Stranger than Fiction: Urban Myths	Healey, Phil	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	7,125 		A	48	Y	3		Contemporary	teen, adult	9781405869775	9781405878746				2008	2008	Y	
PERX2	Pearson	Tales from the Arabian Nights	Andersen, Hans Christian	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,041 		A	56	Y	3		Classic	teen, adult	9781405855396	9781405878753				2008	2008	Y	
PERX2	Pearson	Three Musketeers, The	Dumas, Alexandre	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,557 		A	48	Y	3		Classic	teen, adult	9781405855310	9781405878777				2008	2008	Y	
PERX2	Pearson	Three Short Stories of Sherlock Holmes	Conan Doyle, Arthur C	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,179 		A	56	Y	3		Classic	teen, adult	9781405855433	9781405878227				2008	2008	Y	
PERX2	Pearson	Walkabout	Marshall, James V.	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,436 		A	56	Y	3		Contemporary	teen, adult	9781405881722	9781405878807				2008	2008	Y	CD pack OP
PERX3	Pearson	Billy Elliot	Burgess, Melvyn	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	12,931 		A	64	Y	5		Contemporary	teen, adult	9781405881760	9781405878883				2008	2008	Y	LLLA WINNER 2008
PERX3	Pearson	Black Cat and Other Stories, The	Poe, Edgar A	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	7,423 		A	56	Y	5		Classic	teen, adult	9781405876629	9781405878890				2008	2008	Y	
PERX3	Pearson	Cellist of Sarajevo, The	Galloway, Steven	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	14,017 		A	56	N	5		Contemporary	teen, adult	9781408291375	9781447938071				2013	2013	Y	LLLA FINALIST 2014
