Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBW1	Oxford U. Press	Piano Man, The	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.2-2.4	6,476 		A		S	4 	F	Human Interest	teen & adult	9780194786102	978 0 19 478602 7	9780194637497			2013		Y	Audio-BrE
OBW1	Oxford U. Press	Pocahontas	Retold by Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,320 		A		Y	4 	NF	True Stories	Age 9/10+ up to adult	978 0 19 4789165	978 0 19 478884 7	9780194620512			2008		Y	Audio-AmE
OBW1	Oxford U. Press	President's Murderer, The	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,270 		A		Y	4 	F	Thriller and Adventure	teen & adult	978 0 19 4789172	978 0 19 478885 4	9780194620529			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Remember Miranda	Rowena Akinyemi	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,060 		A		Y	4 	F	Human Interest	teen & adult	978 0 19 4789189	978 0 19 478886 1	9780194637442			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	San Fransisco	Janet Hardy-Gould	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,664 		A		Y	4 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 479437 4	978 0 19 479436 7	9780194637367			2012		Y	Audio-BrE
OBW1F	Oxford U. Press	Scotland	Steve Flinders	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,150 		A		Y	4 	NF (GE)	Factfiles	Age 9/10+ up to adult	978 0 19 4236232	978 0 19 423626 3	9780194637565			2010		Y	Audio-BrE
OBW1	Oxford U. Press	Sherlock Holmes and the Duke's Son	Sir Arthur Conan Doyle	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,800 		A		Y	4 	F	Crime and Mystery	teen & adult	978 0 19 4789196	978 0 19 478887 8	9780194620352			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Sherlock Holmes and the Sport of Kings	Sir Arthur Conan Doyle	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,925 		A		Y	4 	F	Crime and Mystery	teen & adult	978 0 19 4789202	978 0 19 47888 5	9780194620369			2008		Y	Audio-BrE
OBW1P	Oxford U. Press	Sherlock Holmes: Two Plays	Sir Arthur Conan Doyle	Oxford Bookworms Library: Playscripts	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,795 		A		Y	4 	F	Playscripts	teen & adult	978 0 19 4235037	978 0 19 423515 0	9780194620376			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Shirley Homes and the Cyber Thief	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,063 		A		Y	4 	F	Crime and Mystery	teen & adult	9780194786119	978 0 19 478603 4	9780194637466			2013		Y	Audio-BrE
OBW1	Oxford U. Press	Shirley Homes and the Lithuanian Case	Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,925 		A		Y	4 	F	Crime and Mystery	teen & adult	978 0 19 479369 8	978 0 19 479367 4	9780194637459			2012		Y	Audio-BrE
